dosef,energy,natom,mass,fmax,smax,hform,volume,gap_nosoc,gap
1.316958715,-17.32150599,3,462.391995,0.000739204,1.59E-05,-0.159501995,222.8894456,0,0
1.162677606,-17.01298958,3,375.171595,0.007434171,6.16E-05,-0.145996528,214.0730039,0,0
0.660004577,-16.92321331,3,509.2304,0.002875343,9.45E-05,-0.112404435,186.7452775,0,0
0.460471852,-14.51210721,3,293.844,0.001617364,4.56E-05,-1.212035736,190.3381297,0,0
0.572140366,-12.85166334,3,385.29847,0.008288747,5.87E-05,-0.760887781,217.2910792,0,0
0.575162834,-13.47609164,3,340.84447,0.0059041,6.81E-05,-0.902363878,209.3093349,0,0
0.092164149,-17.44583518,3,385.061,0.000405116,9.77E-06,-1.083945059,253.1565636,0,0
0,-19.47865482,3,289.521,0.005631664,8.81E-05,-1.470551607,232.6171696,0.84688767,0.682439425
0.085670999,-18.39298682,3,338.15,0.006696725,0.00012223,-1.201328939,244.7056465,0,0
0.370753407,-20.03897407,3,379.851995,0.002885518,4.98E-05,0.166675312,186.6676628,0,0
0.521853676,-20.09957613,3,292.631595,0.004778396,3.52E-05,0.057141289,176.1136837,0,0
0.770364486,-19.49120306,3,426.6904,0.004788493,7.47E-05,0.263598978,191.7470411,0,0
0.671942491,-15.50561398,3,211.304,0.003585321,8.11E-05,-0.311204659,181.1334116,0,0
1.034741032,-13.9692898,3,302.75847,0.002847184,5.72E-05,0.098570066,213.5462177,0,0
0.901089515,-14.54963783,3,258.30447,0.001337214,2.76E-05,-0.02821261,200.7917298,0,0
0,-18.79647621,3,302.521,0.009645836,8.17E-05,-0.302158736,192.9946884,0.126693189,0
0.172574795,-20.44322249,3,206.981,0.005083,8.51E-05,-0.560074165,175.2081889,0,0
0,-19.64776375,3,255.61,0.004286409,3.51E-05,-0.387587916,186.0826098,0.266666734,0.204007242
1.128932438,-19.74272047,3,376.808365,0.007084473,6.60E-05,-0.026573491,203.5089187,0,0
0.919017417,-19.60625013,3,289.587965,0.005539024,0.000125653,-0.07041671,195.3025082,0,0
0.799513856,-19.1738145,3,423.64677,0.005621249,0.000148962,0.077395165,188.5083701,0,0
0.694326301,-16.21102959,3,208.26037,0.003710855,0.000119513,-0.838343197,182.9597375,0,0
0.820047142,-14.53047262,3,299.71484,0.001223249,3.33E-05,-0.380490875,212.1808321,0,0
0.84940175,-15.14483446,3,255.26084,0.009126982,0.000185373,-0.518611486,202.9446897,0,0
1.642661769,-18.89912718,3,299.47737,0.007034586,7.81E-05,-0.628375725,216.3087396,0,0
1.013935809,-20.72319926,3,203.93737,0.002817701,2.09E-05,-0.945399753,199.1279179,0,0
2.090892223,-19.77266449,3,252.56637,0.001443713,1.37E-05,-0.721221495,210.1949095,0,0
0.966261193,-19.04351104,3,464.849875,0.006438093,2.77E-05,0.03649632,205.1441422,0,0
2.354888717,-18.92609988,3,377.629475,0.001842858,5.54E-05,-0.01369996,197.683063,0,0
0.706432533,-18.36843138,3,511.68828,0.001534588,5.73E-05,0.175856208,187.4383047,0,0
0.744948263,-15.08945163,3,296.30188,0.007552875,0.000175921,-0.634483877,177.0224031,0,0
0.849797086,-13.31171262,3,387.75635,0.00087321,2.85E-05,-0.144237541,205.0371674,0,0
0.90694283,-13.94014637,3,343.30235,0.007667545,0.000128549,-0.287048791,196.2948048,0,0
1.213137636,-18.18664108,3,387.51888,0.007906933,5.14E-05,-0.56088036,218.6311251,0,0
0.808144206,-20.18362212,3,291.97888,0.008762724,3.07E-05,-0.935540706,200.1329207,0,0
1.388670781,-19.10649486,3,340.60788,0.001518985,3.56E-05,-0.669164955,211.4865469,0,0
1.163916354,-16.46045149,3,331.768995,0.005118313,0.000154547,-0.14448383,206.0383532,0,0
1.124533858,-16.18668275,3,244.548595,0.003758895,0.000238586,-0.142560917,184.6245432,0,0
0.961006899,-15.95932403,3,378.6074,0.006632868,0.00041798,-0.063108008,182.7773037,0,0
1.140343322,-13.74249876,3,163.221,0.00964373,0.00041303,-1.227499586,195.7312092,0,0
0.793947735,-16.14352663,3,254.438,0.001654807,0.000246064,-0.921842209,224.4117785,0,0
0.093456571,-17.92204921,3,158.898,0.001018733,0.000294976,-1.223683068,204.3167123,0,0
0.182550128,-17.06482953,3,207.527,0.007882213,0.000253645,-1.030609844,217.6216936,0,0
1.349278227,-17.5559416,3,334.843495,0.004271296,4.53E-05,0.101686134,191.6945096,0,0
1.140600212,-17.47571966,3,247.623095,0.004190432,7.77E-05,0.039093445,179.7594131,0,0
1.303196513,-16.92591349,3,381.6819,0.009530937,0.000236808,0.226028838,183.2215617,0,0
1.835142791,-18.39977719,3,161.9725,0.006886272,9.08E-05,-0.771592396,180.1789221,0,0
0.49881451,-19.81454435,3,467.741995,0.002622491,1.17E-05,0.33581855,185.2788771,0,0
0.635679778,-19.92360135,3,380.521595,0.002251196,5.77E-05,0.210132883,176.7736582,0,0
0.49082697,-14.79182962,3,299.194,0.004905034,0.000157323,0.021056793,172.7496964,0,0
0.676703346,-13.73605377,3,346.19447,0.00369511,0.000116703,0.337315411,191.7202251,0,0
0,-19.48236084,3,343.5,0.002187416,5.65E-05,-0.23812028,186.6893973,0.262124272,0.203140768
0.676733941,-17.09092285,3,421.9644,0.001544551,3.59E-05,-0.202640948,188.9878028,0,0
0.645473069,-14.02531518,3,253.57847,0.001451012,3.89E-05,-1.119771727,216.7408705,0,0
0,-9.315922858,2,149.84319,0.001668944,3.31E-05,0.005038571,174.2305683,1.613587055,1.48328754
0,-18.45218286,2,24.022,3.99E-06,0.000712876,-0.007091431,79.07543848,0.000308946,0.000300069
0.002686368,-8.067673411,2,145.26,0.008772672,5.71E-05,0.482163295,215.5869218,0,0.025062911
